Category,Tag,Repository,Stars,Language,Link,Description (EN),Description (RU)
ROBOTICS,robotics,cs-video-courses,79507,Multi,https://github.com/Developer-Y/cs-video-courses,List of Computer Science courses with video lectures.,Список курсов информатики с видеолекциями.
ROBOTICS,robotics,openpilot,60518,Python,https://github.com/commaai/openpilot,"openpilot is an operating system for robotics. Currently, it upgrades the driver assistance system on 300+ supported cars.",openpilot — операционная система для робототехники. В настоящее время компания модернизирует систему помощи водителю на более чем 300 поддерживаемых автомобилях.
LOW_LEVEL,os,Docker-OSX,52378,Shell,https://github.com/sickcodes/Docker-OSX,Run macOS VM in a Docker! Run near native OSX-KVM in Docker! X11 Forwarding! CI/CD for OS X Security Research! Docker mac Containers.,Запустите виртуальную машину macOS в Docker! Запускайте в Docker рядом с родным OSX-KVM! X11 Пересылка! CI/CD для исследования безопасности OS X! Контейнеры Docker Mac.
LOW_LEVEL,embedded,ClickHouse,46703,C++,https://github.com/ClickHouse/ClickHouse,ClickHouse® is a real-time analytics database management system,ClickHouse® — это система управления базами данных аналитики в реальном времени.
ROBOTICS,robotics,EasySpider,44104,JavaScript,https://github.com/NaiboWang/EasySpider,A visual no-code/code-free web crawler/spider易采集：一个可视化浏览器自动化测试/数据采集/爬虫软件，可以无代码图形化的设计和执行爬虫任务。别名：ServiceWrapper面向Web应用的智能化服务封装系统。,"Визуальный веб-сканер/паук без кода/без кода: программное обеспечение для автоматического тестирования/сбора данных/сканера с визуальным браузером, которое может графически проектировать и выполнять задачи сканера без кода. Псевдоним: ServiceWrapper — это интеллектуальная система упаковки сервисов для веб-приложений."
LOW_LEVEL,os,puter,40154,JavaScript,https://github.com/HeyPuter/puter,"🌐 The Internet Computer! Free, Open-Source, and Self-Hostable.","🌐Компьютер Интернет! Бесплатный, с открытым исходным кодом и самостоятельный хостинг."
LOW_LEVEL,kernel,serenity,33066,C++,https://github.com/SerenityOS/serenity,The Serenity Operating System 🐞,Операционная система Serenity 🐞
LOW_LEVEL,embedded,raylib,31899,C,https://github.com/raysan5/raylib,A simple and easy-to-use library to enjoy videogames programming,"Простая и удобная в использовании библиотека, позволяющая наслаждаться программированием видеоигр."
LOW_LEVEL,os,zeroclaw,29489,Rust,https://github.com/zeroclaw-labs/zeroclaw,"Fast, small, and fully autonomous AI personal assistant infrastructure, ANY OS, ANY PLATFORM — deploy anywhere, swap anything 🦀","Быстрая, небольшая и полностью автономная инфраструктура личного помощника на основе искусственного интеллекта, ЛЮБАЯ ОС, ЛЮБАЯ ПЛАТФОРМА — развертывание где угодно, замена чего угодно 🦀"
ROBOTICS,robotics,PythonRobotics,29062,Python,https://github.com/AtsushiSakai/PythonRobotics,Python sample codes and textbook for robotics algorithms.,Примеры кода Python и учебник по алгоритмам робототехники.
LOW_LEVEL,embedded,DeepSpeech,26753,C++,https://github.com/mozilla/DeepSpeech,"DeepSpeech is an open source embedded (offline, on-device) speech-to-text engine which can run in real time on devices ranging from a Raspberry Pi 4 to high power GPU servers.","DeepSpeech — это встроенный (автономный, на устройстве) механизм преобразования речи в текст с открытым исходным кодом, который может работать в режиме реального времени на различных устройствах — от Raspberry Pi 4 до мощных серверов с графическим процессором."
ROBOTICS,robot,ItChat,26646,Python,https://github.com/littlecodersh/ItChat,A complete and graceful API for Wechat. 微信个人号接口、微信机器人及命令行微信，三十行即可自定义个人号机器人。,"Полный и удобный API для Wechat. Интерфейс личного кабинета WeChat, робот WeChat и командная строка Wechat, вы можете настроить робота личного кабинета в тридцать строк."
LOW_LEVEL,os,CS-Books,26543,Multi,https://github.com/forthespada/CS-Books,🔥🔥超过1000本的计算机经典书籍、个人笔记资料以及本人在各平台发表文章中所涉及的资源等。书籍资源包括C/C++、Java、Python、Go语言、数据结构与算法、操作系统、后端架构、计算机系统知识、数据库、计算机网络、设计模式、前端、汇编以及校招社招各种面经~,"🔥🔥Более 1000 классических компьютерных книг, личных заметок и ресурсов, задействованных в моих статьях, опубликованных на различных платформах. Ресурсы книги включают C/C++, Java, Python, язык Go, структуры данных и алгоритмы, операционные системы, серверную архитектуру, знания компьютерных систем, базы данных, компьютерные сети, шаблоны проектирования, интерфейсную часть, сборку и различные собеседования для школьного и социального набора ~"
ROBOTICS,autonomous-vehicles,apollo,26526,C++,https://github.com/ApolloAuto/apollo,An open autonomous driving platform,Открытая платформа автономного вождения
LOW_LEVEL,kernel,cilium,24039,Go,https://github.com/cilium/cilium,"eBPF-based Networking, Security, and Observability","Сеть, безопасность и наблюдаемость на основе eBPF"
LOW_LEVEL,embedded,lvgl,23177,C,https://github.com/lvgl/lvgl,"Embedded graphics library to create beautiful UIs for any MCU, MPU and display type. ","Встроенная графическая библиотека для создания красивых пользовательских интерфейсов для любого MCU, MPU и типа дисплея."
ROBOTICS,robotics,wechaty,22653,TypeScript,https://github.com/wechaty/wechaty,Conversational RPA SDK for Chatbot Makers. Join our Discord: https://discord.gg/7q8NBZbQzt,Разговорный RPA SDK для создателей чат-ботов. Присоединяйтесь к нашему Discord: https://discord.gg/7q8NBZbQzt
LOW_LEVEL,embedded,micropython,21607,C,https://github.com/micropython/micropython,MicroPython - a lean and efficient Python implementation for microcontrollers and constrained systems,MicroPython — простая и эффективная реализация Python для микроконтроллеров и систем с ограничениями.
LOW_LEVEL,kernel,HarmonyOS,19863,C,https://github.com/Awesome-HarmonyOS/HarmonyOS,A curated list of awesome things related to HarmonyOS. 华为鸿蒙操作系统。,"Кураторский список замечательных вещей, связанных с HarmonyOS. Операционная система Huawei Hongmeng."
LOW_LEVEL,assembly,compiler-explorer,18661,TypeScript,https://github.com/compiler-explorer/compiler-explorer,Run compilers interactively from your web browser and interact with the assembly,Запускайте компиляторы в интерактивном режиме из веб-браузера и взаимодействуйте со сборкой.
ROBOTICS,autonomous-vehicles,AirSim,18087,C++,https://github.com/microsoft/AirSim,"Open source simulator for autonomous vehicles built on Unreal Engine / Unity, from Microsoft AI & Research","Симулятор с открытым исходным кодом для автономных транспортных средств, построенный на Unreal Engine / Unity, от Microsoft AI & Research."
LOW_LEVEL,kernel,gvisor,18043,Go,https://github.com/google/gvisor,Application Kernel for Containers,Ядро приложения для контейнеров
LOW_LEVEL,kernel,blog_os,17388,HTML,https://github.com/phil-opp/blog_os,Writing an OS in Rust,Написание ОС на Rust
LOW_LEVEL,kernel,reactos,17342,C,https://github.com/reactos/reactos,A free Windows-compatible Operating System,"Бесплатная операционная система, совместимая с Windows."
LOW_LEVEL,kernel,KernelSU,15866,Kotlin,https://github.com/tiann/KernelSU,A Kernel based root solution for Android,Корневое решение на основе ядра для Android
ROBOTICS,robotics,nicegui,15606,Python,https://github.com/zauberzeug/nicegui,Create web-based user interfaces with Python. The nice way.,Создавайте веб-интерфейсы пользователей с помощью Python. Хороший способ.
LOW_LEVEL,embedded,zephyr,14908,C,https://github.com/zephyrproject-rtos/zephyr,"Primary Git Repository for the Zephyr Project. Zephyr is a new generation, scalable, optimized, secure RTOS for multiple hardware architectures.","Основной репозиторий Git для проекта Zephyr. Zephyr — это масштабируемая, оптимизированная и безопасная ОСРВ нового поколения для различных аппаратных архитектур."
UAV,uav,ardupilot,14803,C++,https://github.com/ArduPilot/ardupilot,"ArduPlane, ArduCopter, ArduRover, ArduSub source","ArduPlane, ArduCopter, ArduRover, исходный код ArduSub"
LOW_LEVEL,kernel,rust-raspberrypi-OS-tutorials,14615,Rust,https://github.com/rust-embedded/rust-raspberrypi-OS-tutorials,:books: Learn to write an embedded OS in Rust :crab:,:books: Научитесь писать встроенную ОС на Rust :crab:
ROBOTICS,robotics,bullet3,14365,C++,https://github.com/bulletphysics/bullet3,"Bullet Physics SDK: real-time collision detection and multi-physics simulation for VR, games, visual effects, robotics, machine learning etc.","Bullet Physics SDK: обнаружение столкновений в реальном времени и мультифизическое моделирование для виртуальной реальности, игр, визуальных эффектов, робототехники, машинного обучения и т. д."
LOW_LEVEL,embedded,memvid,14071,Rust,https://github.com/memvid/memvid,"Memory layer for AI Agents. Replace complex RAG pipelines with a serverless, single-file memory layer. Give your agents instant retrieval and long-term memory.",Уровень памяти для агентов ИИ. Замените сложные конвейеры RAG бессерверным однофайловым слоем памяти. Обеспечьте своим агентам мгновенный поиск информации и долговременную память.
ROBOTICS,ros,carla,13799,C++,https://github.com/carla-simulator/carla,Open-source simulator for autonomous driving research.,Симулятор с открытым исходным кодом для исследования автономного вождения.
LOW_LEVEL,kernel,raspberry-pi-os,13782,C,https://github.com/s-matyukevich/raspberry-pi-os,Learning operating system development using Linux kernel and Raspberry Pi,Обучение разработке операционных систем с использованием ядра Linux и Raspberry Pi.
LOW_LEVEL,assembly,Reverse-Engineering,13429,Assembly,https://github.com/mytechnotalent/Reverse-Engineering,"A FREE comprehensive reverse engineering tutorial covering x86, x64, 32-bit/64-bit ARM, 8-bit AVR and 32-bit RISC-V architectures.","БЕСПЛАТНОЕ комплексное руководство по обратному проектированию, охватывающее архитектуры x86, x64, 32-битные/64-битные ARM, 8-битные AVR и 32-битные RISC-V."
ROBOTICS,robotics,johnny-five,13408,JavaScript,https://github.com/rwaldron/johnny-five,"JavaScript Robotics and IoT programming framework, developed at Bocoup.","Среда программирования JavaScript для робототехники и Интернета вещей, разработанная в Bocoup."
LOW_LEVEL,assembly,pwntools,13352,Python,https://github.com/Gallopsled/pwntools,CTF framework and exploit development library,Фреймворк CTF и библиотека разработки эксплойтов
LOW_LEVEL,embedded,routersploit,13058,Python,https://github.com/threat9/routersploit,Exploitation Framework for Embedded Devices,Платформа эксплуатации встроенных устройств
ROBOTICS,robotics,stable-baselines3,13030,Python,https://github.com/DLR-RM/stable-baselines3,"PyTorch version of Stable Baselines, reliable implementations of reinforcement learning algorithms. ","PyTorch версия Stable Baselines, надежная реализация алгоритмов обучения с подкреплением."
LOW_LEVEL,fpga,john,12944,C,https://github.com/openwall/john,"John the Ripper jumbo - advanced offline password cracker, which supports hundreds of hash and cipher types, and runs on many operating systems, CPUs, GPUs, and even some FPGAs","John the Ripper jumbo - продвинутый автономный взломщик паролей, который поддерживает сотни типов хэшей и шифров и работает на многих операционных системах, процессорах, графических процессорах и даже некоторых FPGA."
ROBOTICS,robotics,Embodied-AI-Guide,12808,Multi,https://github.com/TianxingChen/Embodied-AI-Guide,[Lumina具身智能社区] 具身智能技术指南 Embodied-AI-Guide,[Сообщество Lumina Embodied Intelligence] Руководство по технологиям Embodied Intelligence Embodied-AI-Guide
ROBOTICS,robotics,mujoco,12679,C++,https://github.com/google-deepmind/mujoco,Multi-Joint dynamics with Contact. A general purpose physics simulator.,Многосуставная динамика с контактом. Универсальный физический симулятор.
LOW_LEVEL,embedded,mongoose,12671,C,https://github.com/cesanta/mongoose,"Embedded web server, with TCP/IP network stack, MQTT and Websocket","Встроенный веб-сервер со стеком TCP/IP, MQTT и Websocket."
LOW_LEVEL,system-programming,lowlevelprogramming-university,12601,Multi,https://github.com/gurugio/lowlevelprogramming-university,How to be low-level programmer,Как быть программистом низкого уровня
LOW_LEVEL,os,daedalOS,12564,JavaScript,https://github.com/DustinBrett/daedalOS,Desktop environment in the browser,Окружение рабочего стола в браузере
LOW_LEVEL,assembly,gdb-dashboard,12177,Python,https://github.com/cyrus-and/gdb-dashboard,Modular visual interface for GDB in Python,Модульный визуальный интерфейс для GDB на Python
LOW_LEVEL,kernel,rt-thread,11871,C,https://github.com/RT-Thread/rt-thread,RT-Thread is an open source IoT Real-Time Operating System (RTOS).                                                                                                https://rt-thread.github.io/rt-thread/,RT-Thread — это операционная система реального времени IoT с открытым исходным кодом (RTOS).                                                                                                https://rt-thread.github.io/rt-thread/
UAV,uav,PX4-Autopilot,11435,C++,https://github.com/PX4/PX4-Autopilot,PX4 Autopilot Software,Программное обеспечение автопилота PX4
LOW_LEVEL,os,reinstall,11380,Shell,https://github.com/bin456789/reinstall,一键DD/重装脚本 (One-click reinstall OS on VPS),Переустановка ОС в один клик на VPS
ROBOTICS,ros,autoware,11324,Dockerfile,https://github.com/autowarefoundation/autoware,Autoware - the world's leading open-source software project for autonomous driving,Autoware — ведущий в мире проект программного обеспечения с открытым исходным кодом для автономного вождения.
LOW_LEVEL,kernel,darwin-xnu,11228,C,https://github.com/apple/darwin-xnu,Legacy mirror of Darwin Kernel. Replaced by https://github.com/apple-oss-distributions/xnu,Зеркало наследия Дарвина Кернела. Заменено на https://github.com/apple-oss-distributions/xnu.
ROBOTICS,robotics,kornia,11156,Python,https://github.com/kornia/kornia,🐍 Geometric Computer Vision Library for Spatial AI,🐍 Библиотека геометрического компьютерного зрения для пространственного ИИ
LOW_LEVEL,os,github,10915,Rich Text Format,https://github.com/phodal/github,GitHub 漫游指南- a Chinese ebook on how to build a good project on Github. Explore the users' behavior. Find some thing interest.,"GitHub 漫游指南 — китайская электронная книга о том, как создать хороший проект на Github. Изучите поведение пользователей. Найдите что-нибудь интересное."
LOW_LEVEL,embedded,fprime,10847,C++,https://github.com/nasa/fprime,F´ - A flight software and embedded systems framework,F´ - Платформа летного программного обеспечения и встроенных систем.
UAV,flight-controller,betaflight,10801,C,https://github.com/betaflight/betaflight,Open Source Flight Controller Firmware,Прошивка контроллера полета с открытым исходным кодом
LOW_LEVEL,embedded,Embedded-Engineering-Roadmap,10734,Multi,https://github.com/m3y54m/Embedded-Engineering-Roadmap,"Comprehensive roadmap for aspiring Embedded Systems Engineers, featuring a curated list of learning resources",Комплексная дорожная карта для начинающих инженеров по встраиваемым системам с тщательно подобранным списком учебных ресурсов.
